المادة,الصف/المرحلة,الترم,الوحدة,القسم,اسم الدرس/الموضوع,الكلمات الدلالية
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الأول: التفكير الإنساني,معنى التفكير الإنساني وتطبيقاته,معنى التفكير الإنساني، التفكير الإنساني، مفهوم التفكير، تعريف التفكير، التفكير وتطبيقاته، تطبيقات التفكير، التفكير في الحياة اليومية، التفكير الإنساني أولى ثانوي، شرح التفكير الإنساني، درس معنى التفكير الإنساني، الفلسفة أولى ثانوي، فلسفة أولى ثانوي ترم أول
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الأول: التفكير الإنساني,أهمية التفكير الإنساني,أهمية التفكير الإنساني، أهمية التفكير، فوائد التفكير، دور التفكير في حياة الإنسان، التفكير وحل المشكلات، التفكير واتخاذ القرار، التفكير الإنساني أولى ثانوي، شرح أهمية التفكير الإنساني، فلسفة أولى ثانوي، فلسفة ترم أول
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الأول: التفكير الإنساني,الفلسفة والدين والعلم,الفلسفة والدين والعلم، العلاقة بين الفلسفة والدين والعلم، الفلسفة والعلم، الفلسفة والدين، العلم والفلسفة، التفكير الفلسفي والعلمي، الفلسفة والدين والعلم أولى ثانوي، شرح الفلسفة والدين والعلم، فلسفة أولى ثانوي ترم أول
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الأول: التفكير الإنساني,التفكير الناقد والتفكير الإبداعي,التفكير الناقد، التفكير النقدي، التفكير الإبداعي، الفرق بين التفكير الناقد والإبداعي، مهارات التفكير الناقد، مهارات التفكير الإبداعي، التفكير الناقد والإبداعي أولى ثانوي، شرح التفكير الناقد، شرح التفكير الإبداعي، فلسفة أولى ثانوي
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الثاني: الفلسفة وطبيعة الموقف الفلسفي,نشأة الفلسفة,نشأة الفلسفة، بداية الفلسفة، ظهور الفلسفة، أصل الفلسفة، تاريخ الفلسفة، نشأة الفلسفة أولى ثانوي، الفلسفة اليونانية، بدايات التفكير الفلسفي، شرح نشأة الفلسفة، فلسفة أولى ثانوي
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الثاني: الفلسفة وطبيعة الموقف الفلسفي,مباحث الفلسفة ومشكلاتها الأساسية,مباحث الفلسفة، فروع الفلسفة، مشكلات الفلسفة، المشكلات الفلسفية الأساسية، مبحث الوجود، مبحث المعرفة، مبحث القيم، الفلسفة ومشكلاتها، مباحث الفلسفة أولى ثانوي، شرح مباحث الفلسفة، فلسفة ترم أول
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الثاني: الفلسفة وطبيعة الموقف الفلسفي,تعريفات الفلسفة,تعريف الفلسفة، تعريفات الفلسفة، ما هي الفلسفة، مفهوم الفلسفة، معنى كلمة فلسفة، فيلو صوفيا، Philosophy، تعريف الفلسفة أولى ثانوي، شرح تعريف الفلسفة
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الثاني: الفلسفة وطبيعة الموقف الفلسفي,أهمية الفلسفة للإنسان والمجتمع,أهمية الفلسفة، أهمية الفلسفة للإنسان، أهمية الفلسفة للمجتمع، دور الفلسفة في حياة الإنسان، فوائد الفلسفة، الفلسفة والمجتمع، الفلسفة في الحياة، أهمية الفلسفة أولى ثانوي، شرح أهمية الفلسفة
فلسفة ومنطق,الصف الأول الثانوي,الترم الأول,الوحدة الأولى: الفلسفة,الفصل الثاني: الفلسفة وطبيعة الموقف الفلسفي,مهارات التفكير الفلسفي,مهارات التفكير الفلسفي، التفكير الفلسفي، مهارات الفلسفة، التساؤل الفلسفي، الحوار والمناقشة، التحليل الفلسفي، النقد الفلسفي، التفكير المنطقي، مهارات التفكير الفلسفي أولى ثانوي، شرح مهارات التفكير الفلسفي
فلسفة ومنطق,الصف الأول الثانوي,الترم الثاني,الوحدة الثانية: المنطق,الفصل الأول: المنهج العلمي (تقليدي - معاصر),مفهوم المنهج العلمي,المنهج العلمي، مفهوم المنهج العلمي، تعريف المنهج العلمي، خطوات المنهج العلمي، البحث العلمي، المنهج العلمي أولى ثانوي، شرح المنهج العلمي، المنهج العلمي تقليدي معاصر، فلسفة ومنطق أولى ثانوي
فلسفة ومنطق,الصف الأول الثانوي,الترم الثاني,الوحدة الثانية: المنطق,الفصل الأول: المنهج العلمي (تقليدي - معاصر),الاستقراء والمنهج العلمي في العصر الحديث,الاستقراء، المنهج الاستقرائي، الاستقراء والمنهج العلمي، المنهج العلمي الحديث، الاستقراء في العصر الحديث، المنهج الاستقرائي التجريبي، الاستقراء والمنهج العلمي أولى ثانوي، شرح الاستقراء، منطق أولى ثانوي ترم ثاني
فلسفة ومنطق,الصف الأول الثانوي,الترم الثاني,الوحدة الثانية: المنطق,الفصل الأول: المنهج العلمي (تقليدي - معاصر),علماء مسلمون لهم دور في المنهج الاستقرائي التجريبي,علماء مسلمون، العلماء المسلمون والمنهج العلمي، المنهج الاستقرائي التجريبي، إسهامات العلماء المسلمين، الاستقراء التجريبي، علماء مسلمون في المنهج الاستقرائي، دور العلماء المسلمين في العلم، منطق أولى ثانوي، فلسفة ومنطق ترم ثاني
فلسفة ومنطق,الصف الأول الثانوي,الترم الثاني,الوحدة الثانية: المنطق,الفصل الأول: المنهج العلمي (تقليدي - معاصر),الاستقراء والمنهج العلمي المعاصر,الاستقراء والمنهج العلمي المعاصر، المنهج العلمي المعاصر، الاستقراء المعاصر، المنهج التجريبي، الاستقراء التجريبي، الفرق بين الاستقراء التقليدي والمعاصر، الاستقراء الحديث، منطق أولى ثانوي ترم ثاني، شرح المنهج العلمي المعاصر
فلسفة ومنطق,الصف الأول الثانوي,الترم الثاني,الوحدة الثانية: المنطق,الفصل الثاني: المنطق الرياضي (طبيعته ودوره في الذكاء الاصطناعي),المنطق الرياضي,المنطق الرياضي، المنطق الرياضي أولى ثانوي، المنطق والرياضيات، التفكير المنطقي، المنطق الصوري، المنطق الرياضي والذكاء الاصطناعي، شرح المنطق الرياضي، منطق ترم ثاني
فلسفة ومنطق,الصف الأول الثانوي,الترم الثاني,الوحدة الثانية: المنطق,الفصل الثاني: المنطق الرياضي (طبيعته ودوره في الذكاء الاصطناعي),الفكر المنطقي والذكاء الاصطناعي,الفكر المنطقي، الذكاء الاصطناعي، الفكر المنطقي والذكاء الاصطناعي، المنطق والذكاء الاصطناعي، التفكير المنطقي والذكاء الاصطناعي، الذكاء الاصطناعي والمنطق أولى ثانوي، شرح الذكاء الاصطناعي والمنطق، منطق أولى ثانوي
فلسفة ومنطق,الصف الأول الثانوي,الترم الثاني,الوحدة الثانية: المنطق,الفصل الثاني: المنطق الرياضي (طبيعته ودوره في الذكاء الاصطناعي),العلاقة بين المنطق والذكاء الاصطناعي,العلاقة بين المنطق والذكاء الاصطناعي، المنطق والذكاء الاصطناعي، المنطق في الذكاء الاصطناعي، دور المنطق في الذكاء الاصطناعي، التفكير المنطقي والذكاء الاصطناعي، منطق أولى ثانوي ترم ثاني، شرح العلاقة بين المنطق والذكاء الاصطناعي
علم النفس,مرحلة البكالوريا المصرية,الجزء الأول,الوحدة الأولى: علم النفس؛ مفتاح نفسك والآخرين,الوحدة الأولى,من الفلسفة إلى المعمل: كيف نشأ علم النفس؟,علم النفس، نشأة علم النفس، تاريخ علم النفس، من الفلسفة إلى المعمل، علم النفس التجريبي، فيلهلم فونت، معمل فونت، 1879 علم النفس، المدرسة البنائية، المدرسة الوظيفية، المدرسة السلوكية، مدرسة الجشطلت، المدرسة الإنسانية، المدرسة المعرفية، منهج الاستبطان، السلوك الإنساني، علم النفس مرحلة البكالوريا، شرح نشأة علم النفس
